;;;;;;;;;Total;76;;;
;;;;;;;;;Ok;26;;;
Análise Monitoramento;;;;;;;Análise Gestão;;Assertividade;34%;;;
;;;;;;;;;;;;;
Gráfico de Assertividade;Grade;;;;;;Contagem de Assertividade;Grade;;;;;
Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;;Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;
NOK;6;45;;3;54;;Dentro do dia;4;44;22;3;73;
OK;;;22;;22;;NOK;4;44;;3;51;
Total Geral;6;45;22;3;76;;OK;;;22;;22;
;;;;;;;Fora do dia;2;1;;;3;
;;;;;;;NOK;2;1;;;3; 
;;;;;;;Total Geral;6;45;22;3;76;
