;;;;;;;;;Total;91;;;
;;;;;;;;;Ok;58;;;
Análise Monitoramento;;;;;;;Análise Gestão;;Assertividade;64%;;;
;;;;;;;;;;;;;
Gráfico de Assertividade;Grade;;;;;;Contagem de Assertividade;Grade;;;;;
Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;;Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;
NOK;12;27;4;1;44;;Dentro do dia;11;22;47;1;81;
OK;;;47;;47;;NOK;11;22;;1;34;
Total Geral;12;27;51;1;91;;OK;;;47;;47;
;;;;;;;Fora do dia;1;5;4;;10;
;;;;;;;NOK;1;5;4;;10; 
;;;;;;;Total Geral;12;27;51;1;91;
