;;;;;;;;;Total;51;;;
;;;;;;;;;Ok;26;;;
Análise Monitoramento;;;;;;;Análise Gestão;;Assertividade;51%;;;
;;;;;;;;;;;;;
Gráfico de Assertividade;Grade;;;;;;Contagem de Assertividade;Grade;;;;;
Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;;Assertividade + Cliente;Antecipado;Atrasado;Dentro da Janela;Fora da Janela;Total Geral;
NOK;2;20;3;2;27;;Dentro do dia;2;18;24;2;46;
OK;;;24;;24;;NOK;2;18;;2;22;
Total Geral;2;20;27;2;51;;OK;;;24;;24;
;;;;;;;Fora do dia;;2;3;;5;
;;;;;;;NOK;;2;3;;5; 
;;;;;;;Total Geral;2;20;27;2;51;
